Country,Year,GDP,GDP Per Capita,GDP PPP,GDP PPP Per Capita,Access to electricity (% of population),Population,Life Expectancy,Health Percentage Expenditure,Total Health Expenditure,Adult Mortality,Infant Deaths per 1000 population,Under-Five Deaths per 1000,Hepatitis B Immunisation,Polio Immunisation (%),Measles Reported Cases per 1000 population,Average Body Mass Index,Diphtheria Immunisation (%),HIV/AIDS Deaths per 1000 population,Country Classification
Angola,2006,41789478661,2073.929314,1.02E+11,5048.875447,29.10367584,20149905,53.8,25.08688824,4.54,344.223,90,143,,36,765,18.2,34,2.5,Least Developed Country
Angola,2007,60448921272,2891.551319,1.19E+11,5697.252145,37.5,20905360,55,184.8213446,3.38,333.373,87,138,73,75,1014,18.8,73,2.6,Least Developed Country
Angola,2008,84178032716,3879.952296,1.35E+11,6221.4228,31.268013,21695636,56.1,249.9101958,3.84,324.524,84,133,69,65,265,19.3,69,2.6,Least Developed Country
Angola,2009,75492384801,3353.089753,1.37E+11,6092.784869,32.38246918,22514275,57.3,212.9229325,4.37,315.675,81,127,61,63,2807,19.8,6,2.5,Least Developed Country
Angola,2010,82470913121,3531.000213,1.46E+11,6230.296761,33.5149498,23356247,58.4,191.6537407,3.39,306.825,78,121,77,81,1190,2.4,77,2.5,Least Developed Country
Angola,2011,1.04116E+11,4298.64104,1.54E+11,6346.395384,34.6,24220660,59.5,239.8913921,3.38,297.976,75,115,72,73,1449,21,71,2.5,Least Developed Country
Angola,2012,1.15398E+11,4596.093521,1.70E+11,6772.529952,35.82196426,25107925,60.4,256.1225243,3.3,289.127,72,110,75,75,4458,21.5,75,2.6,Least Developed Country
Angola,2013,1.24912E+11,4801.394942,1.82E+11,6980.421428,36.99048996,26015786,61,35.95857279,4.26,285.989,69,105,77,67,8523,22.1,77,2.3,Least Developed Country
Angola,2014,1.26777E+11,4705.587647,1.94E+11,7199.247081,32,26941773,61.7,23.965612,3.31,282.85,67,101,64,68,11699,22.7,64,2,Least Developed Country
Angola,2015,1.02962E+11,3692.470309,1.98E+11,7096.600869,42,27884380,62.2,0,,279.712,66,98,64,7,118,23.3,64,1.9,Least Developed Country
Antigua and Barbuda,2000,830158768.9,10922.13571,1256315460,16528.94418,90.07208252,76007,72.5,1127.74347,4.13,180.197,0,0,,96,0,38.2,95,0.1,Developing Country
Antigua and Barbuda,2001,800740257.4,10370.67111,1220267834,15804.12156,90.47645569,77212,73,163.7676978,4.48,178.299,0,0,96,99,0,38.9,97,0.1,Developing Country
Antigua and Barbuda,2002,814615323.7,10404.03744,1252264022,15993.56333,90.8684845,78298,73.4,927.4075855,4.41,176.401,0,0,99,93,0,39.5,98,0.1,Developing Country
Antigua and Barbuda,2003,855643099.6,10788.45431,1352789577,17056.77115,91.25423431,79311,73.3,1158.065259,4.53,174.606,0,0,99,99,0,4.1,99,0.1,Developing Country
Antigua and Barbuda,2004,919577142.6,11445.07129,1468900994,18281.96441,91.63976288,80347,73.3,22.86295206,4.21,172.811,0,0,97,97,0,4.8,97,0.1,Developing Country
Antigua and Barbuda,2005,1022191294,12548.0751,1611782319,19785.69541,92.2,81462,73.4,1455.608186,4.41,171.016,0,0,99,98,0,41.4,99,0.1,Developing Country
Antigua and Barbuda,2006,1157005441,13987.85518,1871922419,22630.99098,92.43440247,82715,73.5,216.3146941,4.34,169.222,0,0,99,99,0,42,99,0.1,Developing Country
Antigua and Barbuda,2007,1311401319,15606.53249,2100192749,24993.66587,92.85564423,84029,73.8,257.9665308,4.27,167.427,0,0,97,98,0,42.6,99,0.1,Developing Country
Antigua and Barbuda,2008,1368431037,16024.90851,2140399099,25064.9823,93.29940796,85394,74,180.7762695,4.69,165.5,0,0,98,99,0,43.2,99,0.1,Developing Country
Antigua and Barbuda,2009,1224253000,14113.56536,1895591209,21852.95884,93.7641983,86743,74.5,149.3587355,4.86,163.573,0,0,98,98,0,43.8,99,0.1,Developing Country
Antigua and Barbuda,2010,1152469074,13091.77637,1772427693,20134.35979,94.24700928,88030,74.7,1983.956937,5.63,161.646,0,0,98,99,0,44.4,98,0.1,Developing Country
Antigua and Barbuda,2011,1142042926,12795.99917,1774011846,19876.88343,94.55201403,89250,75,1810.875316,5.65,159.719,0,0,99,99,0,45.1,99,0.1,Developing Country
Antigua and Barbuda,2012,1211411704,13399.53437,1869017307,20673.36939,95.25469208,90407,74.8,2156.229842,5.39,157.793,0,0,98,97,0,45.7,98,0.2,Developing Country
Antigua and Barbuda,2013,1192925407,13036.01145,1890389416,20657.73594,95.77355194,91510,74.8,1991.430372,5.33,156.198,0,0,99,98,0,46.4,99,0.2,Developing Country
Antigua and Barbuda,2014,1280133333,13830.00944,1999265070,21599.19914,96.29841614,92562,74.6,2422.999774,5.54,154.604,0,0,99,96,0,47,99,0.2,Developing Country
Antigua and Barbuda,2015,1364863037,14586.38934,2097939602,22420.83126,96.82629395,93571,75,0,,153.01,0,0,99,86,0,47.7,99,0.2,Developing Country
Argentina,2000,2.84204E+11,7708.099115,4.39E+11,11916.5797,95.09920502,36870796,74,1349.025282,9.21,180.641,12,14,,88,6,54,83,0.1,Developing Country
Argentina,2001,2.68697E+11,7208.373114,4.29E+11,11514.62158,95.51106347,37275644,74,123.0128671,9.38,179.522,12,13,,85,0,54.6,83,0.1,Developing Country
Argentina,2002,97724004252,2593.404563,3.89E+11,10310.13076,95.79750824,37681743,74.2,470.1869145,8.31,178.403,12,13,66,94,0,55.1,93,0.1,Developing Country
Argentina,2003,1.27587E+11,3349.8063,4.31E+11,11307.75858,96.13420868,38087866,74.2,57.58467352,8.22,176.163,11,13,73,95,0,55.7,96,0.1,Developing Country
Argentina,2004,1.64658E+11,4277.721573,4.82E+11,12527.80115,96.47068024,38491970,74.9,719.3663797,6.84,173.923,11,12,81,91,0,56.3,98,0.1,Developing Country
Argentina,2005,1.98737E+11,5109.852245,5.41E+11,13916.53302,96.81299591,38892924,75.1,96.16653429,6.85,171.683,11,12,88,95,0,56.9,98,0.1,Developing Country
Argentina,2006,2.32557E+11,5919.012338,6.03E+11,15334.93764,97.16722107,39289876,75.4,961.1774676,6.68,169.443,11,12,84,92,0,57.5,91,0.1,Developing Country
Argentina,2007,2.87531E+11,7245.446857,6.74E+11,16994.69256,97.53941345,39684303,75,1105.659031,6.49,167.203,10,12,85,92,0,58,91,0.1,Developing Country
Argentina,2008,3.61558E+11,9020.873323,7.15E+11,17850.13063,97.93412781,40080159,75.7,1413.73543,6.66,165.272,10,11,9,94,0,58.6,93,0.1,Developing Country
Argentina,2009,3.32976E+11,8225.137583,6.78E+11,16753.39572,98.36336517,40482786,75.8,1398.042623,7.63,163.341,10,11,94,97,3,59.2,94,0.1,Developing Country
Argentina,2010,4.23627E+11,10358.71482,7.56E+11,18476.25317,98.82,40895751,75.7,187.610955,6.55,161.41,10,11,94,95,17,59.8,94,0.1,Developing Country
Argentina,2011,5.30163E+11,12830.51561,8.18E+11,19789.15052,99.21616364,41320497,76,1504.329462,5.89,159.48,9,10,91,93,3,6.4,91,0.1,Developing Country
Argentina,2012,5.45982E+11,13075.79733,8.25E+11,19753.85091,99.58441162,41755188,76.2,1133.558003,5.2,157.549,9,10,91,99,2,61,91,0.1,Developing Country
Argentina,2013,5.52025E+11,13082.39396,8.59E+11,20368.94407,99.83712769,42196034,76.3,1001.796332,4.99,155.817,8,10,94,99,0,61.6,94,0.1,Developing Country
Argentina,2014,5.2632E+11,12344.05336,8.54E+11,20023.33339,99.95924377,42637508,76.7,847.3717463,4.79,154.085,8,9,94,92,1,62.2,94,0.1,Developing Country
Argentina,2015,5.84711E+11,13574.13438,8.86E+11,20578.81392,99.99520874,43075416,76.8,0,,152.354,8,9,94,93,0,62.8,94,0.1,Developing Country
Armenia,2000,1911563665,622.7409218,7144051050,2327.357972,98.9,3069597,71.7,32.75626853,6.25,200.185,1,1,55,96,15,47.1,93,0.1,Developing Country
Armenia,2001,2118467913,694.4234554,7998457026,2621.855224,100,3050686,72.2,53.19373012,5.94,193.696,1,1,69,97,69,47.4,94,0.1,Developing Country
Armenia,2002,2376335048,783.241215,9196357105,3031.12388,98,3033976,72.1,57.17810403,5.4,187.207,1,1,91,96,40,47.8,94,0.1,Developing Country
Armenia,2003,2807061009,930.1254727,10682363452,3539.62323,99.14831543,3017938,72.3,7.341493148,5.56,189.896,1,1,93,96,4,48.1,94,0.1,Developing Country
Armenia,2004,3576615240,1191.921006,12118272912,4038.461804,99.17969513,3000715,72.6,97.74087744,5.5,192.585,1,1,91,93,1783,48.4,91,0.1,Developing Country
Armenia,2005,4900469950,1643.756889,14228374758,4772.601253,99.8,2981262,72.7,20.21822828,5.25,195.273,1,1,91,92,2281,48.8,9,0.1,Developing Country
Armenia,2006,6384451606,2158.148074,16593643827,5609.180346,99.26573181,2958301,72.6,244.5352767,4.58,197.962,1,1,78,87,137,49.2,87,0.1,Developing Country
Armenia,2007,9206301700,3139.28071,19382176256,6609.178585,99.33103943,2932615,73.2,44.57219966,4.31,200.65,1,1,85,9,1,49.7,88,0.1,Developing Country
Armenia,2008,11662040714,4010.861381,21122568893,7264.56869,99.41564941,2907615,73,2.8888979,3.8,196.828,1,1,89,91,0,5.1,89,0.1,Developing Country
Armenia,2009,8647936748,2994.340471,18271970266,6326.653587,99.51981354,2888094,73,201.1855461,4.55,193.005,1,1,93,94,0,5.7,93,0.1,Developing Country
Armenia,2010,9260284938,3218.378299,18891551957,6565.69007,99.8,2877314,73.3,224.3212014,4.56,189.182,1,1,94,96,2,51.2,94,0.1,Developing Country
Armenia,2011,10142111334,3525.807198,20192628680,7019.772629,99.76715088,2876536,73.6,260.9963826,3.71,185.359,1,1,95,96,0,51.9,95,0.1,Developing Country
Armenia,2012,10619320049,3681.844691,22061645091,7649.035011,99.87887573,2884239,74,274.1526986,4.48,181.537,1,1,95,96,0,52.6,95,0.1,Developing Country
Armenia,2013,11121465767,3838.17388,23189619052,8003.062905,99.95405579,2897593,74.5,279.4290812,4.55,179.629,1,1,95,96,10,53.3,95,0.1,Developing Country
Armenia,2014,11609512940,3986.231624,24478961727,8405.073655,99.98897552,2912403,74.5,295.6087143,4.48,177.721,1,1,93,95,13,54.1,93,0.1,Developing Country
Armenia,2015,10553337673,3607.289299,25532428677,8727.367548,100,2925559,74.6,0,,175.814,1,1,94,96,33,54.9,94,0.1,Developing Country
Australia,2000,4.15446E+11,21875.45237,5.04E+11,26552.65985,100,18991434,79.6,347.18736,8.8,97.967,1,2,,9,108,58.2,9,0.1,Developing Country
Australia,2001,3.789E+11,19739.84143,5.31E+11,27647.61547,100,19194676,80.1,3064.301144,8.18,93.793,1,2,94,91,141,59,92,0.1,Developing Country
Australia,2002,3.94636E+11,20340.62091,5.64E+11,29088.34578,100,19401366,80.2,46.3871819,8.39,90.81,1,2,95,92,32,59.6,92,0.1,Developing Country
Australia,2003,4.66853E+11,23789.71436,5.91E+11,30104.3227,100,19624163,80.6,3829.550928,8.32,89.042,1,1,95,92,91,6.3,93,0.1,Developing Country
Australia,2004,6.1333E+11,30852.13539,6.31E+11,31717.78833,100,19879654,80.8,588.568371,8.57,86.332,1,1,95,92,70,6.9,92,0.1,Developing Country
Australia,2005,6.93764E+11,34381.27796,6.64E+11,32924.18201,100,20178543,81,579.1331637,8.45,85.447,1,2,95,92,10,61.5,92,0.1,Developing Country
Australia,2006,7.47573E+11,36420.2329,7.10E+11,34593.45614,100,20526300,81.4,6187.062017,8.49,82.945,1,2,95,92,0,62,92,0.1,Developing Country
Australia,2007,8.53765E+11,40818.07159,7.61E+11,36405.29562,100,20916339,81.5,872.5986092,8.53,84.729,1,2,94,92,11,62.5,92,0.1,Developing Country
Australia,2008,1.05533E+12,49471.23244,7.96E+11,37313.39712,100,21332293,81.5,8547.292357,8.78,81.993,1,1,94,92,65,62.9,92,0.1,Developing Country
Australia,2009,9.27168E+11,42626.7583,8.74E+11,40190.71051,100,21750852,81.9,7172.275229,9.5,81.777,1,1,94,92,104,63.4,92,0.1,Developing Country
Australia,2010,1.14288E+12,51586.22971,8.66E+11,39106.15689,100,22154687,82,8875.786493,9.2,78.634,1,1,92,92,70,63.9,92,0.1,Developing Country
Australia,2011,1.39056E+12,61698.32776,9.38E+11,41596.72691,100,22538002,82.2,10986.26527,9.2,78.261,1,1,92,92,190,64.4,92,0.1,Developing Country
Australia,2012,1.53819E+12,67158.47729,9.74E+11,42508.00755,100,22903951,82.5,11714.99858,9.36,75.571,1,1,91,92,199,65,92,0.1,Developing Country
Australia,2013,1.56718E+12,67391.29432,1.06E+12,45651.79547,100,23254912,82.8,11734.85381,9.36,75.212,1,1,91,91,158,65.5,91,0.1,Developing Country
Australia,2014,1.4596E+12,61856.73656,1.10E+12,46640.34035,100,23596426,82.7,10769.36305,9.42,76.486,1,1,91,92,340,66.1,92,0.1,Developing Country
Australia,2015,1.34538E+12,56215.74008,1.10E+12,46050.87723,100,23932499,82.6,0,,,1,1,93,93,74,66.6,93,0.1,Developing Country
Austria,2000,1.968E+11,24388.77774,2.35E+11,29169.94513,100,8069276,78.4,3557.455507,1.6,126.568,0,0,33,71,0,5.1,81,0.1,Developed Country
Austria,2001,1.97338E+11,24369.45539,2.39E+11,29511.70091,100,8097755,78.9,3582.848308,1.12,122.892,0,0,44,83,0,5.6,84,0.1,Developed Country
Austria,2002,2.13378E+11,26231.52203,2.52E+11,30977.67086,100,8134403,79,3979.057728,1.27,120.026,0,0,81,82,0,51.2,83,0.1,Developed Country
Austria,2003,2.61696E+11,32008.36839,2.61E+11,31894.86444,100,8175855,79.1,504.4308735,1.48,115.817,0,0,83,84,90,51.7,84,0.1,Developed Country
Austria,2004,3.00904E+11,36620.56461,2.76E+11,33558.88892,100,8216810,79.6,5316.877456,1.56,114.612,0,0,83,83,15,52.2,83,0.1,Developed Country
Austria,2005,3.15974E+11,38282.96437,2.88E+11,34904.15057,100,8253656,79.6,5992.588029,1.53,111.759,0,0,86,86,9,52.7,86,0.1,Developed Country
Austria,2006,3.35999E+11,40553.35744,3.11E+11,37547.22426,100,8285345,80.1,69.92899358,1.35,105.344,0,0,83,83,23,53.2,83,0.1,Developed Country
Austria,2007,3.88691E+11,46752.94947,3.27E+11,39306.09595,100,8313731,80.3,7453.8644,1.4,104.253,0,0,85,85,20,53.7,85,0.1,Developed Country
Austria,2008,4.30294E+11,51584.60682,3.44E+11,41217.01997,100,8341525,80.6,8329.731655,1.6,99.617,0,0,83,83,448,54.2,83,0.1,Developed Country
Austria,2009,4.00172E+11,47795.13243,3.41E+11,40783.13088,100,8372658,80.4,8053.557638,11.19,103.061,0,0,83,83,49,54.7,83,0.1,Developed Country
Austria,2010,3.91893E+11,46598.72883,3.51E+11,41773.5836,100,8409945,80.6,7423.228774,11.17,100.315,0,0,86,86,52,55.2,86,0.1,Developed Country
Austria,2011,4.3112E+11,50999.02515,3.73E+11,44127.45247,100,8453501,81,8272.306757,1.94,94.356,0,0,89,89,68,55.7,89,0.1,Developed Country
Austria,2012,4.09425E+11,48155.04099,3.92E+11,46062.62202,100,8502230,81,7878.372355,11.17,91.335,0,0,92,92,36,56.1,92,0.1,Developed Country
Austria,2013,4.30069E+11,50264.0384,4.06E+11,47494.32246,100,8556191,81.3,90.58501176,11.14,89.369,0,0,95,95,0,56.6,95,0.1,Developed Country
Austria,2014,4.41885E+11,51291.34081,4.17E+11,48409.7292,100,8615205,81.7,8350.193523,11.21,85.621,0,0,98,98,117,57.1,98,0.1,Developed Country
Austria,2015,3.82066E+11,44023.57301,4.31E+11,49672.54608,100,8678667,81.4,0,,84.688,0,0,93,93,309,57.6,93,0.1,Developed Country
Azerbaijan,2000,5272617196,649.117816,29485605460,3630.005955,98.90822245,8122743,66.5,35.09462644,4.67,220.92,9,11,,75,210,42.1,76,0.1,Developing Country
Azerbaijan,2001,5707720391,696.2931541,33115452911,4039.802509,98.59178162,8197295,67.5,4.104190077,4.48,214.082,8,10,,77,574,42.6,77,0.1,Developing Country
Azerbaijan,2002,6235795104,753.3824011,36814442589,4447.765312,100,8277065,68,39.33253687,4.47,207.244,7,9,5,8,4353,43.1,76,0.1,Developing Country
Azerbaijan,2003,7276013032,870.187327,41326042612,4942.459338,98.90182495,8361433,68.1,42.41491183,6.56,204.095,7,8,51,79,1978,43.6,77,0.1,Developing Country
Azerbaijan,2004,8680472169,1027.403937,46365813602,5487.768238,99.05349731,8448938,68.7,8.59680496,7.92,200.946,6,8,5,78,827,44.2,77,0.1,Developing Country
Azerbaijan,2005,13245716099,1551.273111,61178516230,7164.926871,99.21097565,8538610,68.7,81.28883085,7.86,197.796,6,7,49,79,1238,44.7,75,0.1,Developing Country
Azerbaijan,2006,20983019924,2431.361289,84753921779,9820.674301,99.5,8630153,69.4,105.6337264,6.17,194.647,6,7,52,8,222,45.3,78,0.1,Developing Country
Azerbaijan,2007,33050343783,3788.336308,1.09E+11,12515.87393,99.56214142,8724237,70.4,176.0107106,5.1,191.498,6,7,62,81,0,45.9,79,0.1,Developing Country
Azerbaijan,2008,48852482960,5537.656812,1.23E+11,13954.55604,99.74180603,8821869,70.4,206.2616134,4.37,188.489,6,6,68,85,5,46.6,81,0.1,Developing Country
Azerbaijan,2009,44291490421,4962.975079,1.36E+11,15201.72786,99.88473511,8924383,70.9,22.48638351,5.85,185.48,6,6,74,84,0,47.3,81,0.1,Developing Country
Azerbaijan,2010,52902703376,5856.95083,1.44E+11,15922.49901,99.96567535,9032465,71.1,246.5686008,5.33,182.472,5,6,8,85,0,48,81,0.1,Developing Country
Azerbaijan,2011,65951627200,7210.762062,1.45E+11,15800.32307,99.9,9146277,71.6,263.142699,5.1,179.463,5,6,84,91,0,48.8,87,0.1,Developing Country
Azerbaijan,2012,69684317719,7521.499678,1.51E+11,16247.7542,99.99971008,9264684,71.9,285.6103912,5.37,176.454,5,6,88,92,0,49.7,89,0.1,Developing Country
Azerbaijan,2013,74164435946,7902.050686,1.62E+11,17273.65588,100,9385467,72.3,275.6514934,5.54,175.696,5,6,93,96,164,5.6,93,0.1,Developing Country
Azerbaijan,2014,75244166773,7915.759144,1.70E+11,17864.10123,100,9505616,72.6,306.1824313,6.4,174.938,5,6,94,97,0,51.5,94,0.1,Developing Country
Azerbaijan,2015,53074370486,5515.514809,1.73E+11,18022.77341,100,9622741,72.9,0,,174.18,5,6,96,98,0,52.5,96,0.1,Developing Country
